Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 171233
epoch 001 FINAL | train=0.1486
epoch 002 FINAL | train=0.0582
epoch 003 FINAL | train=0.0434
epoch 004 FINAL | train=0.0365
epoch 005 FINAL | train=0.0356
epoch 006 FINAL | train=0.0317
epoch 007 FINAL | train=0.0302
epoch 008 FINAL | train=0.0284
epoch 009 FINAL | train=0.0282
epoch 010 FINAL | train=0.0282
epoch 011 FINAL | train=0.0276
epoch 012 FINAL | train=0.0266
epoch 013 FINAL | train=0.0271
epoch 014 FINAL | train=0.0257
epoch 015 FINAL | train=0.0255
epoch 016 FINAL | train=0.0255
epoch 017 FINAL | train=0.0262
epoch 018 FINAL | train=0.0248
epoch 019 FINAL | train=0.0242
epoch 020 FINAL | train=0.0244
epoch 021 FINAL | train=0.0243
epoch 022 FINAL | train=0.0251
epoch 023 FINAL | train=0.0241
epoch 024 FINAL | train=0.0236
epoch 025 FINAL | train=0.0236
epoch 026 FINAL | train=0.0240
epoch 027 FINAL | train=0.0226
epoch 028 FINAL | train=0.0227
epoch 029 FINAL | train=0.0228
epoch 030 FINAL | train=0.0225
epoch 031 FINAL | train=0.0232
epoch 032 FINAL | train=0.0224
epoch 033 FINAL | train=0.0226
epoch 034 FINAL | train=0.0224
epoch 035 FINAL | train=0.0219
epoch 036 FINAL | train=0.0221
epoch 037 FINAL | train=0.0218
epoch 038 FINAL | train=0.0214
epoch 039 FINAL | train=0.0216
epoch 040 FINAL | train=0.0217
epoch 041 FINAL | train=0.0215
epoch 042 FINAL | train=0.0217
epoch 043 FINAL | train=0.0216
epoch 044 FINAL | train=0.0220
epoch 045 FINAL | train=0.0217
epoch 046 FINAL | train=0.0221
epoch 047 FINAL | train=0.0209
epoch 048 FINAL | train=0.0211
epoch 049 FINAL | train=0.0204
epoch 050 FINAL | train=0.0207
epoch 051 FINAL | train=0.0208
epoch 052 FINAL | train=0.0205
epoch 053 FINAL | train=0.0215
epoch 054 FINAL | train=0.0218
epoch 055 FINAL | train=0.0205
epoch 056 FINAL | train=0.0215
epoch 057 FINAL | train=0.0206
epoch 058 FINAL | train=0.0206
epoch 059 FINAL | train=0.0201
epoch 060 FINAL | train=0.0198
epoch 061 FINAL | train=0.0205
epoch 062 FINAL | train=0.0202
epoch 063 FINAL | train=0.0201
epoch 064 FINAL | train=0.0200
epoch 065 FINAL | train=0.0203
epoch 066 FINAL | train=0.0196
epoch 067 FINAL | train=0.0195
epoch 068 FINAL | train=0.0196
epoch 069 FINAL | train=0.0203
epoch 070 FINAL | train=0.0194
epoch 071 FINAL | train=0.0201
epoch 072 FINAL | train=0.0195
epoch 073 FINAL | train=0.0197
epoch 074 FINAL | train=0.0198
epoch 075 FINAL | train=0.0190
epoch 076 FINAL | train=0.0198
epoch 077 FINAL | train=0.0193
epoch 078 FINAL | train=0.0190
epoch 079 FINAL | train=0.0188
epoch 080 FINAL | train=0.0189
epoch 081 FINAL | train=0.0193
epoch 082 FINAL | train=0.0189
epoch 083 FINAL | train=0.0189
epoch 084 FINAL | train=0.0193
epoch 085 FINAL | train=0.0188
epoch 086 FINAL | train=0.0186
epoch 087 FINAL | train=0.0188
epoch 088 FINAL | train=0.0188
epoch 089 FINAL | train=0.0187
epoch 090 FINAL | train=0.0189
epoch 091 FINAL | train=0.0185
epoch 092 FINAL | train=0.0189
epoch 093 FINAL | train=0.0188
epoch 094 FINAL | train=0.0185
epoch 095 FINAL | train=0.0183
epoch 096 FINAL | train=0.0184
epoch 097 FINAL | train=0.0186
epoch 098 FINAL | train=0.0183
epoch 099 FINAL | train=0.0187
epoch 100 FINAL | train=0.0182
epoch 101 FINAL | train=0.0180
epoch 102 FINAL | train=0.0178
epoch 103 FINAL | train=0.0187
epoch 104 FINAL | train=0.0180
epoch 105 FINAL | train=0.0176
epoch 106 FINAL | train=0.0180
epoch 107 FINAL | train=0.0176
epoch 108 FINAL | train=0.0179
epoch 109 FINAL | train=0.0178
epoch 110 FINAL | train=0.0173
Saved model to /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn160.pth  (best RMSE=inf)
Finished run: final_cnn1dgcn160
Saved model: /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn160.pth
