Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 26401
epoch 001 FINAL | train=0.1114
epoch 002 FINAL | train=0.0474
epoch 003 FINAL | train=0.0415
epoch 004 FINAL | train=0.0398
epoch 005 FINAL | train=0.0389
epoch 006 FINAL | train=0.0369
epoch 007 FINAL | train=0.0365
epoch 008 FINAL | train=0.0346
epoch 009 FINAL | train=0.0346
epoch 010 FINAL | train=0.0340
epoch 011 FINAL | train=0.0338
epoch 012 FINAL | train=0.0337
epoch 013 FINAL | train=0.0331
epoch 014 FINAL | train=0.0321
epoch 015 FINAL | train=0.0322
epoch 016 FINAL | train=0.0319
epoch 017 FINAL | train=0.0316
epoch 018 FINAL | train=0.0317
epoch 019 FINAL | train=0.0317
epoch 020 FINAL | train=0.0343
epoch 021 FINAL | train=0.0318
epoch 022 FINAL | train=0.0313
epoch 023 FINAL | train=0.0312
epoch 024 FINAL | train=0.0311
epoch 025 FINAL | train=0.0300
epoch 026 FINAL | train=0.0316
epoch 027 FINAL | train=0.0308
epoch 028 FINAL | train=0.0302
epoch 029 FINAL | train=0.0299
epoch 030 FINAL | train=0.0296
epoch 031 FINAL | train=0.0300
epoch 032 FINAL | train=0.0300
epoch 033 FINAL | train=0.0296
epoch 034 FINAL | train=0.0300
epoch 035 FINAL | train=0.0300
epoch 036 FINAL | train=0.0292
epoch 037 FINAL | train=0.0289
epoch 038 FINAL | train=0.0297
epoch 039 FINAL | train=0.0298
epoch 040 FINAL | train=0.0292
epoch 041 FINAL | train=0.0292
epoch 042 FINAL | train=0.0293
epoch 043 FINAL | train=0.0292
epoch 044 FINAL | train=0.0292
epoch 045 FINAL | train=0.0287
epoch 046 FINAL | train=0.0297
epoch 047 FINAL | train=0.0305
epoch 048 FINAL | train=0.0288
epoch 049 FINAL | train=0.0286
epoch 050 FINAL | train=0.0286
epoch 051 FINAL | train=0.0284
epoch 052 FINAL | train=0.0292
epoch 053 FINAL | train=0.0295
epoch 054 FINAL | train=0.0291
epoch 055 FINAL | train=0.0289
epoch 056 FINAL | train=0.0286
epoch 057 FINAL | train=0.0283
epoch 058 FINAL | train=0.0294
epoch 059 FINAL | train=0.0284
epoch 060 FINAL | train=0.0283
epoch 061 FINAL | train=0.0284
epoch 062 FINAL | train=0.0287
epoch 063 FINAL | train=0.0285
epoch 064 FINAL | train=0.0282
epoch 065 FINAL | train=0.0280
epoch 066 FINAL | train=0.0284
epoch 067 FINAL | train=0.0281
epoch 068 FINAL | train=0.0285
epoch 069 FINAL | train=0.0283
epoch 070 FINAL | train=0.0283
epoch 071 FINAL | train=0.0286
epoch 072 FINAL | train=0.0281
epoch 073 FINAL | train=0.0280
epoch 074 FINAL | train=0.0277
epoch 075 FINAL | train=0.0279
epoch 076 FINAL | train=0.0303
epoch 077 FINAL | train=0.0284
epoch 078 FINAL | train=0.0280
epoch 079 FINAL | train=0.0281
epoch 080 FINAL | train=0.0282
Saved model to /home/users/rszymanski/Traffic_Forecast/runs/final_gcnmlp64.pth  (best RMSE=inf)
Finished run: final_gcnmlp64
Saved model: /home/users/rszymanski/Traffic_Forecast/runs/final_gcnmlp64.pth
