Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 34145
epoch 001 FINAL | train=0.1839
epoch 002 FINAL | train=0.0736
epoch 003 FINAL | train=0.0488
epoch 004 FINAL | train=0.0421
epoch 005 FINAL | train=0.0367
epoch 006 FINAL | train=0.0336
epoch 007 FINAL | train=0.0317
epoch 008 FINAL | train=0.0314
epoch 009 FINAL | train=0.0294
epoch 010 FINAL | train=0.0295
epoch 011 FINAL | train=0.0301
epoch 012 FINAL | train=0.0281
epoch 013 FINAL | train=0.0283
epoch 014 FINAL | train=0.0272
epoch 015 FINAL | train=0.0270
epoch 016 FINAL | train=0.0259
epoch 017 FINAL | train=0.0277
epoch 018 FINAL | train=0.0269
epoch 019 FINAL | train=0.0255
epoch 020 FINAL | train=0.0263
epoch 021 FINAL | train=0.0252
epoch 022 FINAL | train=0.0249
epoch 023 FINAL | train=0.0243
epoch 024 FINAL | train=0.0245
epoch 025 FINAL | train=0.0243
epoch 026 FINAL | train=0.0239
epoch 027 FINAL | train=0.0250
epoch 028 FINAL | train=0.0239
epoch 029 FINAL | train=0.0236
epoch 030 FINAL | train=0.0234
epoch 031 FINAL | train=0.0234
epoch 032 FINAL | train=0.0233
epoch 033 FINAL | train=0.0239
epoch 034 FINAL | train=0.0238
epoch 035 FINAL | train=0.0235
epoch 036 FINAL | train=0.0240
epoch 037 FINAL | train=0.0229
epoch 038 FINAL | train=0.0226
epoch 039 FINAL | train=0.0230
epoch 040 FINAL | train=0.0231
epoch 041 FINAL | train=0.0227
epoch 042 FINAL | train=0.0220
epoch 043 FINAL | train=0.0222
epoch 044 FINAL | train=0.0225
epoch 045 FINAL | train=0.0224
epoch 046 FINAL | train=0.0223
epoch 047 FINAL | train=0.0224
epoch 048 FINAL | train=0.0229
epoch 049 FINAL | train=0.0224
epoch 050 FINAL | train=0.0232
epoch 051 FINAL | train=0.0219
epoch 052 FINAL | train=0.0216
epoch 053 FINAL | train=0.0220
epoch 054 FINAL | train=0.0233
epoch 055 FINAL | train=0.0225
epoch 056 FINAL | train=0.0216
epoch 057 FINAL | train=0.0218
epoch 058 FINAL | train=0.0220
epoch 059 FINAL | train=0.0219
epoch 060 FINAL | train=0.0212
epoch 061 FINAL | train=0.0216
epoch 062 FINAL | train=0.0212
epoch 063 FINAL | train=0.0214
epoch 064 FINAL | train=0.0215
epoch 065 FINAL | train=0.0214
epoch 066 FINAL | train=0.0210
epoch 067 FINAL | train=0.0211
epoch 068 FINAL | train=0.0214
epoch 069 FINAL | train=0.0218
epoch 070 FINAL | train=0.0208
epoch 071 FINAL | train=0.0214
epoch 072 FINAL | train=0.0213
epoch 073 FINAL | train=0.0210
epoch 074 FINAL | train=0.0211
epoch 075 FINAL | train=0.0206
epoch 076 FINAL | train=0.0208
epoch 077 FINAL | train=0.0201
epoch 078 FINAL | train=0.0208
epoch 079 FINAL | train=0.0213
epoch 080 FINAL | train=0.0205
epoch 081 FINAL | train=0.0205
epoch 082 FINAL | train=0.0206
epoch 083 FINAL | train=0.0210
epoch 084 FINAL | train=0.0210
epoch 085 FINAL | train=0.0215
epoch 086 FINAL | train=0.0206
epoch 087 FINAL | train=0.0209
epoch 088 FINAL | train=0.0211
epoch 089 FINAL | train=0.0203
epoch 090 FINAL | train=0.0201
epoch 091 FINAL | train=0.0202
epoch 092 FINAL | train=0.0203
epoch 093 FINAL | train=0.0198
epoch 094 FINAL | train=0.0200
epoch 095 FINAL | train=0.0203
epoch 096 FINAL | train=0.0206
epoch 097 FINAL | train=0.0204
epoch 098 FINAL | train=0.0204
epoch 099 FINAL | train=0.0203
epoch 100 FINAL | train=0.0202
epoch 101 FINAL | train=0.0202
epoch 102 FINAL | train=0.0200
epoch 103 FINAL | train=0.0199
epoch 104 FINAL | train=0.0198
epoch 105 FINAL | train=0.0196
epoch 106 FINAL | train=0.0195
epoch 107 FINAL | train=0.0198
epoch 108 FINAL | train=0.0205
epoch 109 FINAL | train=0.0200
epoch 110 FINAL | train=0.0197
epoch 111 FINAL | train=0.0194
epoch 112 FINAL | train=0.0193
epoch 113 FINAL | train=0.0192
Saved model to /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn64.pth  (best RMSE=inf)
Finished run: final_cnn1dgcn64
Saved model: /home/users/rszymanski/Traffic_Forecast/runs/final_cnn1dgcn64.pth
