Found existing dataset: /home/users/rszymanski/Traffic_Forecast/data/dataset.npz
X_train shape: (1261, 36, 48)
Y_train shape: (1261, 36)
FINAL TRAINING MODE: full dataset, no early stopping.
Total parameters: 42209
epoch 001 FINAL | train=0.2571
epoch 002 FINAL | train=0.1281
epoch 003 FINAL | train=0.0859
epoch 004 FINAL | train=0.0582
epoch 005 FINAL | train=0.0462
epoch 006 FINAL | train=0.0407
epoch 007 FINAL | train=0.0379
epoch 008 FINAL | train=0.0332
epoch 009 FINAL | train=0.0322
epoch 010 FINAL | train=0.0316
epoch 011 FINAL | train=0.0290
epoch 012 FINAL | train=0.0290
epoch 013 FINAL | train=0.0271
epoch 014 FINAL | train=0.0267
epoch 015 FINAL | train=0.0263
epoch 016 FINAL | train=0.0267
epoch 017 FINAL | train=0.0275
epoch 018 FINAL | train=0.0242
epoch 019 FINAL | train=0.0243
epoch 020 FINAL | train=0.0236
epoch 021 FINAL | train=0.0241
epoch 022 FINAL | train=0.0231
epoch 023 FINAL | train=0.0228
epoch 024 FINAL | train=0.0225
epoch 025 FINAL | train=0.0231
epoch 026 FINAL | train=0.0225
epoch 027 FINAL | train=0.0215
epoch 028 FINAL | train=0.0224
epoch 029 FINAL | train=0.0220
epoch 030 FINAL | train=0.0208
epoch 031 FINAL | train=0.0215
epoch 032 FINAL | train=0.0207
epoch 033 FINAL | train=0.0213
epoch 034 FINAL | train=0.0204
epoch 035 FINAL | train=0.0204
epoch 036 FINAL | train=0.0212
epoch 037 FINAL | train=0.0198
epoch 038 FINAL | train=0.0199
epoch 039 FINAL | train=0.0196
epoch 040 FINAL | train=0.0201
epoch 041 FINAL | train=0.0200
epoch 042 FINAL | train=0.0200
epoch 043 FINAL | train=0.0194
epoch 044 FINAL | train=0.0197
epoch 045 FINAL | train=0.0188
epoch 046 FINAL | train=0.0193
epoch 047 FINAL | train=0.0190
epoch 048 FINAL | train=0.0189
epoch 049 FINAL | train=0.0198
epoch 050 FINAL | train=0.0189
epoch 051 FINAL | train=0.0187
epoch 052 FINAL | train=0.0184
epoch 053 FINAL | train=0.0181
epoch 054 FINAL | train=0.0183
epoch 055 FINAL | train=0.0185
epoch 056 FINAL | train=0.0181
epoch 057 FINAL | train=0.0188
epoch 058 FINAL | train=0.0184
epoch 059 FINAL | train=0.0180
